accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.7621,0.98,0,Resnet-20,CIFAR-10,7,layer2.0.conv1,0.6171504855155945,0.3620130990105519,0.3192968470528174,0.0588107630610466,271.0,4608.0
0.7621,0.98,0,Resnet-20,CIFAR-10,8,layer2.0.conv2,0.8979488015174866,0.3338252533007466,0.2449500240151521,0.0310329869389534,286.0,9216.0
0.7621,0.98,0,Resnet-20,CIFAR-10,9,layer2.0.shortcut.0,,,-inf,0.0078125,4.0,512.0
0.7621,0.98,0,Resnet-20,CIFAR-10,10,layer2.1.conv1,0.976312017440796,0.5788524151787788,0.3266221110866011,0.0300564244389534,277.0,9216.0
0.7621,0.98,0,Resnet-20,CIFAR-10,11,layer2.1.conv2,0.5731734752655029,0.2828942695077703,0.220991884088693,0.0308159720152616,284.0,9216.0
0.7621,0.98,0,Resnet-20,CIFAR-10,12,layer2.2.conv1,0.9619882901509604,0.3208794283047498,0.2039044252322184,0.0303819440305233,280.0,9216.0
0.7621,0.98,0,Resnet-20,CIFAR-10,13,layer2.2.conv2,0.7141315142313639,0.2779051299757824,0.2542400777724009,0.029296875,270.0,9216.0
0.7621,0.98,0,Resnet-20,CIFAR-10,14,layer3.0.conv1,0.6533784508705139,0.3998858280552856,0.3159404833719282,0.0157877597957849,291.0,18432.0
0.7621,0.98,0,Resnet-20,CIFAR-10,15,layer3.0.conv2,0.8158523738384247,0.3593531738528899,0.264444612500545,0.0081380205228924,300.0,36864.0
0.7621,0.98,0,Resnet-20,CIFAR-10,16,layer3.0.shortcut.0,,,,0.00048828125,1.0,2048.0
0.7621,0.98,0,Resnet-20,CIFAR-10,17,layer3.1.conv1,1.1867520014444988,0.379972208605521,0.2783275631866564,0.0070258248597383,259.0,36864.0
0.7621,0.98,0,Resnet-20,CIFAR-10,18,layer3.1.conv2,0.5018210411071777,0.2839566533362294,0.2198842352802059,0.0069173178635537,255.0,36864.0
0.7621,0.98,0,Resnet-20,CIFAR-10,19,layer3.2.conv1,1.1330888271331787,0.4965032027428808,0.3222953212752236,0.0069173178635537,255.0,36864.0
