accuracy,pruning,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,cut-edges,motif,no_connected_components,mean_connected_components,avg_node_strength,1-hop_nei,cut-nodes,k-core,spectral_gap,spectral_radius
0.3176,prospr,0.98,CONV-6,tinyimagenet,1,4,convs1.10,0.0332777239382267,1280,4907,133,180266,44,29.09090909090909,1.5145845718681812,4.83359375,75,4.128125,1.1168838,42.65402458823064
0.3176,prospr,0.98,CONV-6,tinyimagenet,1,6,convs1.14,0.0162726510316133,1408,4799,168,84306,136,10.352941176470589,1.2998985483903776,4.408380681818182,114,3.754261363636364,0.47746348,20.256184761193257
0.3176,prospr,0.98,CONV-6,tinyimagenet,1,7,convs1.17,0.0041571725159883,2560,2452,675,24189,1039,2.46390760346487,0.4060570939909667,1.9578125,222,1.059765625,0.06971717,14.279133987106434
0.3176,prospr,0.98,CONV-6,tinyimagenet,1,9,linear.0,0.0023488998413085,4352,2463,935,111841,2690,1.6178438661710035,0.2294314471347367,1.5659466911764706,179,0.6068474264705882,0.6144099,57.67188831034844
0.3176,prospr,0.98,CONV-6,tinyimagenet,1,10,linear.3,0.176727294921875,512,11582,0,611564,1,512.0,6.877295094542205,23.62109375,0,27.505859375,5.9723754,39.04163071362835
0.3176,prospr,0.98,CONV-6,tinyimagenet,1,11,linear.6,0.1863281279802322,456,9540,0,452959,1,456.0,10.425214547598571,21.92105263157895,0,26.17763157894737,7.148494,25.28327823332788
0.3106,prospr,0.98,CONV-6,tinyimagenet,2,0,convs1.0,0.6082175970077515,91,1051,0,28995,1,91.0,9.927791113381858,12.54945054945055,0,16.087912087912088,7.5458593,27.87075778622452
0.3106,prospr,0.98,CONV-6,tinyimagenet,2,1,convs1.3,0.1240234375,640,4572,0,254693,1,640.0,2.9074011579155923,8.14375,0,7.7296875,1.930366,36.53004891364598
0.3106,prospr,0.98,CONV-6,tinyimagenet,2,3,convs1.7,0.0853135883808136,704,6290,8,232139,1,704.0,3.468455248935656,9.934659090909092,8,10.071022727272728,1.847372,35.65630185842828
0.3106,prospr,0.98,CONV-6,tinyimagenet,2,4,convs1.10,0.0344984270632267,1280,5087,108,139963,40,32.0,1.571940128132701,4.97421875,67,4.25859375,1.1159074,19.012252924741173
0.3106,prospr,0.98,CONV-6,tinyimagenet,2,6,convs1.14,0.0157470703125,1408,4644,155,82270,113,12.460176991150442,1.2577120068229055,4.298295454545454,112,3.645596590909091,0.555603,20.69691673961317
0.3106,prospr,0.98,CONV-6,tinyimagenet,2,7,convs1.17,0.0035247802734375,2560,2079,712,17324,1148,2.229965156794425,0.3619547459296882,1.812109375,233,0.926171875,0.32918692,16.700458099034673
0.3106,prospr,0.98,CONV-6,tinyimagenet,2,9,linear.0,0.0018720626831054,4352,1963,898,48087,2904,1.4986225895316805,0.1957188045386882,1.4510569852941178,183,0.4933363970588235,0.16875696,26.39118830328656
0.3106,prospr,0.98,CONV-6,tinyimagenet,2,10,linear.3,0.169219970703125,512,11090,0,542133,1,512.0,6.6171217313967645,22.66015625,0,26.56640625,5.5648675,30.46860370138743
0.3106,prospr,0.98,CONV-6,tinyimagenet,2,11,linear.6,0.1840039044618606,456,9421,0,435913,1,456.0,10.48527875830207,21.660087719298247,0,25.778508771929825,7.2923403,24.88719295314192
0.1684,snip,0.98,CONV-6,tinyimagenet,0,0,convs1.0,0.7528935074806213,91,1301,0,43922,1,91.0,9.000432527982271,15.296703296703296,0,19.56043956043956,6.918958,24.61586431773124
0.1684,snip,0.98,CONV-6,tinyimagenet,0,1,convs1.3,0.30810546875,640,11358,0,1226183,1,640.0,4.221975016966463,18.746875,0,19.6234375,4.189752,34.44167925580608
0.1684,snip,0.98,CONV-6,tinyimagenet,0,3,convs1.7,0.1833767294883728,704,13520,0,945368,1,704.0,5.338941661641002,20.204545454545453,0,22.43323863636364,4.71377,31.947647590537176
0.1684,snip,0.98,CONV-6,tinyimagenet,0,4,convs1.10,0.068115234375,1280,10044,9,485360,1,1280.0,2.33188403621316,8.846875,7,8.69296875,2.160629,22.92336485501265
0.1684,snip,0.98,CONV-6,tinyimagenet,0,6,convs1.14,0.0172865130007267,1408,5098,93,75675,38,37.05263157894737,0.9688555443320762,4.620738636363637,73,4.1399147727272725,0.3769977,11.081895527931511
0.1684,snip,0.98,CONV-6,tinyimagenet,0,7,convs1.17,0.0019802516326308,2560,1168,735,5098,1516,1.688654353562005,0.098383325105533,1.45625,251,0.544921875,0.036701202,5.352027976011989
0.1684,snip,0.98,CONV-6,tinyimagenet,0,9,linear.0,0.0001220703125,4352,128,128,136,4224,1.0303030303030305,0.0146038226016304,1.0294117647058822,36,0.0438878676470588,0.050426602,3.20619920173174
0.1684,snip,0.98,CONV-6,tinyimagenet,0,10,linear.3,0.0271759033203125,512,1781,19,14516,5,102.4,0.5269812964834273,4.478515625,19,4.23828125,0.18512118,5.113283034725045
0.1684,snip,0.98,CONV-6,tinyimagenet,0,11,linear.6,0.0351171866059303,456,1798,5,31535,89,5.123595505617978,2.913408120473226,4.942982456140351,5,4.291666666666667,1.680234,17.833520765779607
0.1494,snip,0.98,CONV-6,tinyimagenet,1,0,convs1.0,0.7285879850387573,91,1259,0,41134,1,91.0,8.269033353407304,14.835164835164836,0,19.263736263736263,5.803822,23.193535077386464
0.1494,snip,0.98,CONV-6,tinyimagenet,1,1,convs1.3,0.3272840678691864,640,12065,0,1424056,1,640.0,4.397807547822595,19.8515625,0,20.821875,3.917653,38.37918970537962
0.1494,snip,0.98,CONV-6,tinyimagenet,1,3,convs1.7,0.1772596538066864,704,13069,0,883407,1,704.0,5.261448819190264,19.563920454545453,0,21.930397727272727,4.672654,26.99017164525361
0.1494,snip,0.98,CONV-6,tinyimagenet,1,4,convs1.10,0.0705430805683136,1280,10402,3,522194,1,1280.0,2.3966377627104523,9.1265625,3,8.93828125,2.2356932,21.68902054828829
0.1494,snip,0.98,CONV-6,tinyimagenet,1,6,convs1.14,0.0170220267027616,1408,5020,102,77019,33,42.66666666666666,0.8710549017414451,4.565340909090909,84,3.813920454545455,0.31029284,11.221690678600885
0.1494,snip,0.98,CONV-6,tinyimagenet,1,7,convs1.17,0.001800537109375,2560,1062,767,3294,1560,1.641025641025641,0.07953791632317,1.41484375,286,0.500390625,0.035637736,3.6962130059817593
